questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
MCAS_2007_8_5158,5158,1,B,1,0,MCAS,8,2007,Which of the following keeps the planets in our solar system in orbit around the Sun? (A) atmospheric pressure (B) gravitational force (C) electromagnetic energy (D) thermal energy,Science,Train
MCAS_2007_8_5159,5159,1,D,1,0,MCAS,8,2007,Which of the following groups of organisms uses sunlight to convert carbon dioxide and water into sugar and oxygen? (A) carnivores (B) decomposers (C) herbivores (D) producers,Science,Train
MCAS_2007_8_5161,5161,1,D,1,0,MCAS,8,2007,"A manufacturer wants to produce a container for food storage that does not break easily and is airtight, inexpensive, and microwave-safe. Which of the following is the best material to use to make the container? (A) glass (B) metal (C) paper (D) plastic",Science,Train
MCAS_2007_8_5162,5162,1,B,1,0,MCAS,8,2007,Heat from deep in Earth's interior is transferred to its crust by which of the following? (A) conduction in the ocean (B) convection in the mantle (C) radiation from the solid core (D) evaporation at mid-ocean ridges,Science,Train
MCAS_2007_8_5165,5165,1,C,1,0,MCAS,8,2007,Which of the following is the primary advantage of sexual reproduction when compared to asexual reproduction? (A) There is a greater number of offspring. (B) There is more food available to offspring. (C) There is greater genetic variety in offspring. (D) There is a longer development time for offspring.,Science,Train
MCAS_2007_8_5166,5166,1,C,1,0,MCAS,8,2007,The ocean water near the equator absorbs more heat throughout the year than ocean water near the North Pole. Which of the following best explains this difference? (A) The equator is closer to the Sun. (B) The equator has higher sea levels. (C) The equator receives more direct sunlight. (D) The equator rotates more quickly on Earth's axis.,Science,Train
MCAS_2007_8_5167,5167,1,D,1,0,MCAS,8,2007,Which of the following is an example of a physical change but not a chemical change? (A) A log gives off heat and light as it burns. (B) A tree stores energy from the Sun in its fruit. (C) A penny lost in the grass slowly changes color. (D) A water pipe freezes and cracks on a cold night.,Science,Train
MCAS_2007_8_5168,5168,1,C,1,0,MCAS,8,2007,Which of the following Earth layers has the greatest density? (A) crust (B) mantle (C) inner core (D) outer core,Science,Train
MCAS_2007_8_5169,5169,1,B,1,0,MCAS,8,2007,Which of the following is an example of the formation of a mixture? (A) rust forming on an iron nail (B) sugar crystals dissolving in water (C) sodium and chlorine forming table salt (D) hydrogen and oxygen reacting to produce water,Science,Train
MCAS_2007_8_5170,5170,1,D,1,0,MCAS,8,2007,Which of the following identifies the primary function of a radio station tower in a communication system? (A) decoder (B) encoder (C) receiver (D) transmitter,Science,Train
MCAS_2007_8_5171,5171,1,A,1,0,MCAS,8,2007,"Laura adds 50 mL of boiling water to 100 mL of ice water. If the 150 mL of water is then put into a freezer, at what temperature will the water freeze? (A) 0à¤¤à¤“C (B) 15à¤¤à¤“C (C) 37à¤¤à¤“C (D) 50à¤¤à¤“C",Science,Train
MCAS_2007_8_5172,5172,1,C,1,0,MCAS,8,2007,Which of the following substances can be separated into several elements? (A) nitrogen (B) zinc (C) air (D) aluminum,Science,Train
MCAS_2007_8_5173,5173,1,D,1,0,MCAS,8,2007,Scientists working for a company are testing a new medicine that they think will help heal damaged tissue. In which part of the company are the scientists working? (A) distribution (B) mass marketing (C) public relations (D) research,Science,Train
MCAS_2007_8_5174,5174,1,B,1,0,MCAS,8,2007,"Which of the following statements best explains why earthquakes occur more frequently in California than in Massachusetts? (A) The rock found in California is igneous, but the rock found in Massachusetts is sedimentary. (B) California is located on the boundary of two crustal plates, but Massachusetts is not. (C) The rock under California is soft, but the rock under Massachusetts is hard. (D) California is located on a continental plate, but Massachusetts is not.",Science,Train
MCAS_2007_8_5179,5179,1,D,1,0,MCAS,8,2007,"An escalator at a shopping mall is 10 m long and moves at a constant speed of 0.5 m/s. If Josà¤¥à¤Š steps onto the escalator at the bottom while it is moving, how long will it take him to travel the 10 m? (A) 5 s (B) 10 s (C) 15 s (D) 20 s",Science,Train
MCAS_2007_8_5180,5180,1,C,1,0,MCAS,8,2007,Which of the following areas is most likely to form metamorphic rocks such as gneiss and schist? (A) a sea floor (B) a windblown desert (C) a site deep underground (D) a site covered by a glacier,Science,Train
MCAS_2007_8_5181,5181,1,D,1,0,MCAS,8,2007,"Several interchangeable parts are used in the manufacture of automobiles. Some examples of these parts are batteries, windshield wiper blades, spark plugs, and tires. Which of the following is an advantage of interchangeable parts over non-interchangeable parts on automobiles? (A) Interchangeable parts are generally more expensive than custom-made parts for automobiles. (B) Interchangeable parts break more often now than in years past on most automobiles. (C) Interchangeable parts are plentiful for custom-made automobiles. (D) Interchangeable parts can fit many kinds of automobiles.",Science,Train
MCAS_2007_8_5183,5183,1,A,1,0,MCAS,8,2007,Which of the following best describes the number of chromosomes in a normal human liver cell? (A) 23 pairs of chromosomes (B) 46 different types of chromosomes (C) 46 male chromosomes and 46 female chromosomes (D) 23 original chromosomes and 23 duplicate chromosomes,Science,Train
MCAS_2007_8_5184,5184,1,D,1,0,MCAS,8,2007,Which of the following best describes a role of mushrooms in ecosystems? (A) capturing energy from sunlight (B) consuming living plant material (C) taking energy from animal hosts (D) breaking down dead plant material,Science,Train
MCAS_2007_8_5185,5185,1,B,1,0,MCAS,8,2007,Which of the following tools is most useful for tightening a small mechanical fastener? (A) chisel (B) pliers (C) sander (D) saw,Science,Train
MCAS_2007_8_5186,5186,1,D,1,0,MCAS,8,2007,Which of the following is a characteristic of all chemical changes? (A) A different state of matter is produced. (B) Some mass is converted to energy. (C) Some form of light is given off. (D) A new material is formed.,Science,Train
MCAS_2007_8_5187,5187,1,B,1,0,MCAS,8,2007,"In the human body, which system functions primarily to defend the body against disease? (A) digestive (B) immune (C) nervous (D) respiratory",Science,Train
MCAS_2007_8_5188,5188,1,A,1,0,MCAS,8,2007,What is the smallest unit of an element that still has the properties of that element? (A) an atom (B) a compound (C) an electron (D) a molecule,Science,Train
MCAS_2007_8_5189,5189,1,B,1,0,MCAS,8,2007,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship? (A) carbon dioxide (B) food (C) protection (D) water,Science,Train
MCAS_2007_8_5190,5190,1,D,1,0,MCAS,8,2007,Which of the following best describes an advantage of using a mass production manufacturing system instead of a custom manufacturing system? (A) Customers can provide specific feedback to workers. (B) Workers become skilled in all aspects of assembly. (C) Goods can be easily modified for customers. (D) Products can be made at a lower cost.,Science,Train
MCAS_2007_8_5192,5192,1,D,1,0,MCAS,8,2007,Which of the following describes a reason why companies irradiate some fruits and vegetables before they are sold to the public? (A) to improve the flavors by increasing the sugar content (B) to speed up the ripening of produce picked too early (C) to partially cook the produce before canning or freezing (D) to extend the shelf life by killing existing microorganisms,Science,Train
MCAS_2008_8_5598,5598,1,B,1,0,MCAS,8,2008,Which of the following causes a ship’s iron anchor to sink to the ocean floor when it is released overboard? (A) chemical forces (B) gravity (C) magnetism (D) nuclear forces,Science,Train
MCAS_2008_8_5604,5604,1,B,1,0,MCAS,8,2008,Which of the following tools is most useful for tightening a small mechanical fastener? (A) chisel (B) pliers (C) saw (D) sander,Science,Train
MCAS_2008_8_5607,5607,1,D,1,0,MCAS,8,2008,Which of the following is the best estimate of the number of stars in a typical galaxy? (A) tens (B) hundreds (C) thousands (D) billions,Science,Train
MCAS_2008_8_5608,5608,1,C,1,0,MCAS,8,2008,"If a new organism were discovered, which of the following would most likely be used to classify it into the appropriate kingdom? (A) the color of the organism (B) the organism's natural habitat (C) the structure of the organism's anatomy (D) the location where the organism was found",Science,Train
MCAS_2008_8_5690,5690,1,B,1,0,MCAS,8,2008,Which of the following is formed when two elements combine chemically? (A) an atom (B) a compound (C) an electron (D) a mixture,Science,Train
MCAS_2008_8_5691,5691,1,C,1,0,MCAS,8,2008,"After a windstorm, Niko called the electric company to report that he had no electricity. His phone call is an example of which of the following elements of a universal systems model? (A) designing a process (B) generating output (C) giving feedback (D) setting a goal",Science,Train
MCAS_2008_8_5694,5694,1,B,1,0,MCAS,8,2008,Which of the following statements best explains why the tilt of Earth on its axis causes summer to be warmer than winter in the Northern Hemisphere? (A) The warm ocean currents flow from the tropics to the Northern Hemisphere in the summer. (B) The rays of the Sun strike the Northern Hemisphere more directly in the summer. (C) The greenhouse effect increases in the Northern Hemisphere in the summer. (D) The Northern Hemisphere is closer to the Sun in the summer.,Science,Train
MCAS_2008_8_5698,5698,1,C,1,0,MCAS,8,2008,"When bedrock in Massachusetts is examined, it often appears scraped and polished. Which of the following most likely caused the bedrock to appear scraped and polished? (A) crustal deformation (B) frequent earthquakes (C) glacial movement (D) volcanic eruptions",Science,Train
MCAS_2008_8_5700,5700,1,C,1,0,MCAS,8,2008,"Ms. Bristol measured the mass of a closed beaker containing several ice cubes. The mass was 100 g. An hour later, after the ice cubes had melted, Ms. Bristol measured the mass of the beaker again. What was the mass of the beaker of water the second time? (A) 50 g (B) 75 g (C) 100 g (D) 125 g",Science,Train
MCAS_2008_8_5701,5701,1,B,1,0,MCAS,8,2008,"For a technology project, Kyle came up with an idea to build a model bridge. He wants his bridge to span 50 cm and to support a 1 kg object. According to the engineering design process, which of the following should be Kyle's next step? (A) construct prototypes of different kinds of bridges (B) research the different designs of bridges (C) gather the materials needed to build the bridge (D) make a drawing to show how to build the bridge",Science,Train
MCAS_2008_8_5702,5702,1,C,1,0,MCAS,8,2008,The complete removal of decomposers from an ecosystem will have the greatest effect on which of the following? (A) the spread of disease (B) the availability of water (C) the recycling of nutrients (D) the distribution of organisms,Science,Train
MCAS_2008_8_5706,5706,1,B,1,0,MCAS,8,2008,"New carpet is being measured for a room that is 5.5 m by 4.6 m. On a measuring tape, what is the smallest unit that is necessary to measure the room accurately for the carpet? (A) millimeters (B) centimeters (C) meters (D) kilometers",Science,Train
MCAS_2008_8_5707,5707,1,C,1,0,MCAS,8,2008,Which of the following statements best describes one way that the Moon is different from Earth? (A) The Moon is not solid. (B) The Moon has no gravity. (C) The Moon has almost no atmosphere. (D) The Moon receives almost no solar light.,Science,Train
MCAS_2008_8_5708,5708,1,A,1,0,MCAS,8,2008,A shoe manufacturer randomly selects 10% of the production from each shift. Each of these shoes is checked to ensure that it is correctly made. What is this process called? (A) quality control (B) product distribution (C) production selection (D) research and development,Science,Train
MCAS_2008_8_5711,5711,1,C,1,0,MCAS,8,2008,"Tobias rode his bike on a road for a 2 hr period. On average, he passed a 1 km marker every 3 min during this period. Which of the following was his average speed for this 2 hr period? (A) 10 km/hr (B) 15 km/hr (C) 20 km/hr (D) 25 km/hr",Science,Train
MCAS_2008_8_5712,5712,1,D,1,0,MCAS,8,2008,Which of the following organisms produces energy from sunlight? (A) worm (B) rabbit (C) hawk (D) grass,Science,Train
MCAS_2008_8_5713,5713,1,B,1,0,MCAS,8,2008,"Sugar is composed of carbon, hydrogen, and oxygen. Sugar is an example of which of the following? (A) an atom (B) a compound (C) an electron (D) a mixture",Science,Train
MCAS_2008_8_5714,5714,1,D,1,0,MCAS,8,2008,"The surface of a heated metal object measures 120à¤“C. It is dropped into a bucket filled with water measuring 10à¤“C. Which of the following is most likely to occur? (A) Both the water and metal will adjust to the same temperature below 10à¤“C. (B) The water and metal will adjust to different temperatures above 120à¤“C. (C) The water will remain the same temperature, but the metal will cool to 10à¤“C. (D) The water and metal will adjust to the same temperature between 10à¤“C and 120à¤“C.",Science,Train
MCAS_2008_8_5715,5715,1,B,1,0,MCAS,8,2008,The presence of which of the following geological features provides the best evidence that glaciers once covered an area? (A) wide riverbeds (B) U-shaped valleys (C) underground caves (D) groundwater springs,Science,Train
MCAS_2008_8_5716,5716,1,A,1,0,MCAS,8,2008,Which of the following best describes the purpose of the chromosomes in the nucleus of a cell? (A) to store the genetic instructions needed to specify traits (B) to release energy by breaking down food molecules (C) to transport nutrients into and out of the cell (D) to protect the cells from microorganisms,Science,Train
MCAS_2008_8_5717,5717,1,B,1,0,MCAS,8,2008,A pot of cold water was heated on a stove until the water boiled. Which of the following best explains why the water was able to boil? (A) The hot stove absorbed cold from the pot. (B) The cold water absorbed heat from the pot. (C) The hot stove gave off heat to the surrounding air. (D) The cold water gave off cold to the surrounding air.,Science,Train
MCAS_2008_8_5718,5718,1,C,1,0,MCAS,8,2008,"A layer of solid brittle rock comprises the outer 100 kilometers of Earth. This layer, which contains both the crust and the upper mantle, is called the (A) core. (B) sediment. (C) lithosphere. (D) hemisphere.",Science,Train
MCAS_2008_8_5719,5719,1,B,1,0,MCAS,8,2008,Which of the following structures is not present in animal cells? (A) cell membrane (B) cell wall (C) mitochondrion (D) nucleus,Science,Train
MCAS_2008_8_5720,5720,1,A,1,0,MCAS,8,2008,"What is the primary energy source that drives all weather events, including precipitation, hurricanes, and tornados? (A) the Sun (B) the Moon (C) Earth's gravity (D) Earth's rotation",Science,Train
TAKS_2009_8_9,9,1,A,1,0,TAKS,8,2009,Which of these would most likely improve the air quality in large Texas cities? (A) Limiting the number of cars on the roads (B) Switching to wood stoves for home heating (C) Requiring large vehicles to use diesel fuel (D) Maintaining filters in large buildings,science,Train
TAKS_2009_8_11,11,1,A,1,0,TAKS,8,2009,"When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by — (A) increasing the pressure inside the wings (B) decreasing the density of the wings (C) increasing the temperature inside the wings (D) decreasing the mass of the wings",science,Train
TAKS_2009_8_12,12,1,B,1,0,TAKS,8,2009,Which process below uses carbon dioxide and the sun’s radiant energy to produce chemical energy? (A) Evaporation (B) Photosynthesis (C) Respiration (D) Decomposition,science,Train
TAKS_2009_8_18,18,1,B,1,0,TAKS,8,2009,A recent study concluded that about 90% of all large predatory fish such as tuna have disappeared from the world’s oceans in the past 50 years. Which of these is most likely the direct cause of this loss? (A) Urban development near the coast (B) Commercial harvesting from the ocean (C) Climate change on Earth (D) Acid precipitation over the oceans,science,Train
TAKS_2009_8_19,19,1,A,1,0,TAKS,8,2009,"In a healthy forest, dead trees and limbs fall to the ground and decompose. Which of these statements best describes why decomposition is important to a forest ecosystem? (A) Nutrients are released when wood is broken down. (B) Worms produce oxygen used by other organisms. (C) Dead trees provide nest sites for many different species of birds. (D) Water is stored in dead trees and limbs.",science,Train
